id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
Sl_290,2016-04-11,10:45:35,,,5,543989,1,41,94,135,4879,1
Sl_290,2016-04-11,10:45:40,,,5,550428,2,99,92,191,6438,1
Sl_290,2016-04-11,10:45:46,,,5,556060,3,15,45,60,5630,1
Sl_290,2016-04-11,10:45:52,,,5,561692,4,73,29,102,5630,1
Sl_290,2016-04-11,10:45:57,,,5,564982,5,60,28,88,3288,1
Sl_290,2016-04-11,10:46:01,,,5,567211,6,50,16,66,2227,1
Sl_290,2016-04-11,10:46:03,,,5,575105,7,43,75,118,7892,1
Sl_290,2016-04-11,10:46:11,,,5,580574,8,47,54,101,5468,1
Sl_290,2016-04-11,10:46:16,,,5,585165,9,85,98,183,4590,1
Sl_290,2016-04-11,10:46:21,,,5,591128,10,91,17,108,5962,1
Sl_290,2016-04-11,10:46:27,,,5,600326,11,53,59,112,9196,1
Sl_290,2016-04-11,10:46:36,,,5,606162,12,48,64,112,5835,1
Sl_290,2016-04-11,10:46:42,,,5,613299,13,98,79,177,7135,1
Sl_290,2016-04-11,10:46:49,,,5,617909,14,51,47,98,4609,1
Sl_290,2016-04-11,10:46:53,,,5,621165,15,38,52,90,3255,1
Sl_290,2016-04-11,10:46:57,,,5,630022,16,82,39,141,8857,0
Sl_290,2016-04-11,10:47:06,,,5,633872,17,18,97,115,3849,1
Sl_290,2016-04-11,10:47:09,,,5,636756,18,29,50,79,2882,1
Sl_290,2016-04-11,10:47:12,,,5,643183,19,46,51,97,6426,1
Sl_290,2016-04-11,10:47:19,,,5,647356,20,33,53,86,4172,1
Sl_290,2016-04-11,10:47:23,,,5,652646,21,46,33,79,5288,1
Sl_290,2016-04-11,10:47:28,,,5,657709,22,39,47,86,5061,1
Sl_290,2016-04-11,10:47:33,,,5,659108,23,83,86,,1397,0
